File,SentenceNumber,Sentence,EntityType,Role,Sarcasm,Non-Offensive
B_1,33,"‎24 / 04 / 18 , 14 : 43 - SupportoBullo2 : E allora ? ! Questi non sono affari tuoi",Curse_or_Exclusion,Bystander_assistant,False,False
B_1,34,"‎24 / 04 / 18 , 14 : 43 - SupportoBullo1 : Ecco continua così",Encouragement_to_the_Harasser,Bystander_assistant,False,False
B_1,36,"‎24 / 04 / 18 , 14 : 45 - SupportoVittima2 : Sei tu lo sfigaro ( Bullo1 ?",Insult-General_Insult,Bystander_assistant,False,False
B_1,39,"‎24 / 04 / 18 , 14 : 45 - SupportoVittima2 : Vittima ha fatto la cosa giusta",Defense,Bystander_assistant,False,False
B_1,40,"‎24 / 04 / 18 , 14 : 45 - Vittima : Grazie , sono solo invidiosi",Defense,Victim,False,False
B_1,41,"‎24 / 04 / 18 , 14 : 45 - Bullo1 : Ma stai zitta . . . Pure tu secchiona",Curse_or_Exclusion,Harasser,False,False
B_1,41,"‎24 / 04 / 18 , 14 : 45 - Bullo1 : Ma stai zitta . . . Pure tu secchiona",Insult-General_Insult,Harasser,False,False
B_1,43,"‎24 / 04 / 18 , 14 : 46 - Vittima : se lo meritano di perdere l'anno",Defense,Victim,False,False
B_1,45,"‎24 / 04 / 18 , 14 : 46 - SupportoVittima2 : E si",Defense,Bystander_defender,False,False
B_1,46,"‎24 / 04 / 18 , 14 : 46 - SupportoBullo2 : Ma zitto",Curse_or_Exclusion,Bystander_assistant,False,False
B_1,47,"‎24 / 04 / 18 , 14 : 46 - SupportoBullo2 : Taci , questi non sono affari tuoi",Curse_or_Exclusion,Bystander_assistant,False,False
B_1,48,"‎24 / 04 / 18 , 14 : 48 - Vittima : invece sì che sono affari miei",Defense,Victim,False,False
B_1,49,"‎24 / 04 / 18 , 14 : 49 - SupportoBullo1 : No Non sono affari tuoi",Curse_or_Exclusion,Bystander_assistant,False,False
B_1,51,"‎24 / 04 / 18 , 14 : 52 - SupportoVittima2 : Volevo dire sfigato",Insult-General_Insult,Bystander_assistant,False,False
B_1,53,"‎24 / 04 / 18 , 14 : 53 - SupportoBullo1 : SupportoVittima2 stai zitta",Curse_or_Exclusion,Bystander_assistant,False,False
B_1,54,"‎24 / 04 / 18 , 14 : 56 - SupportoBullo2 : Sisi vedrai come diventeranno affari tuoi quando ti pesteremo",Threat_or_Blackmail,Bystander_assistant,False,False
B_1,55,"‎24 / 04 / 18 , 14 : 57 - SupportoBullo1 : Ti beccheremo fuori scuola",Threat_or_Blackmail,Bystander_assistant,False,False
B_1,56,"‎24 / 04 / 18 , 14 : 58 - SupportoBullo1 : SupportoVittima2 fatti i affari tuoi",Curse_or_Exclusion,Bystander_assistant,False,False
B_1,58,"‎24 / 04 / 18 , 14 : 58 - Vittima : dovreste studiare invece di offendermi",Defense,Victim,False,False
B_1,59,"‎24 / 04 / 18 , 15 : 00 - SupportoBullo1 : Io studio più di tè , tu cosa studi , studi le parolacce perché non le sai",Defamation,Bystander_assistant,False,False
B_1,60,"‎24 / 04 / 18 , 15 : 03 - SupportoBullo2 : Eh già",Encouragement_to_the_Harasser,Bystander_assistant,False,False
B_1,61,"‎24 / 04 / 18 , 16 : 08 - Vittima : ma che ne sapete voi , sapete solo offendere",Defense,Victim,False,False
B_1,63,"‎24 / 04 / 18 , 16 : 09 - SupportoBullo2 : Si , per colpa tua marmocchio",Insult-General_Insult,Bystander_assistant,False,False
B_1,63,"‎24 / 04 / 18 , 16 : 09 - SupportoBullo2 : Si , per colpa tua marmocchio",Curse_or_Exclusion,Bystander_assistant,False,False
B_1,64,"‎24 / 04 / 18 , 16 : 11 - Vittima : esatto . così la smettete di scrivere cose cattive sul mio conto",Defense,Victim,False,False
B_1,66,"‎24 / 04 / 18 , 16 : 30 - SupportoBullo1 : Anche noi faremo la spia",Threat_or_Blackmail,Bystander_assistant,False,False
B_1,67,"‎24 / 04 / 18 , 16 : 33 - SupportoBullo1 : Sapete perché Vittima a dei bei voti perché lui va a guardare le domande per essere capace a rispondere alle risposte delle verifiche",Defamation,Bystander_assistant,False,False
B_1,68,"‎24 / 04 / 18 , 16 : 38 - Vittima : non è vero",Defense,Victim,False,False
B_1,71,"‎24 / 04 / 18 , 16 : 49 - SupportoVittima3 : Stai zitta SupportoBullo2",Curse_or_Exclusion,Bystander_defender,False,False
B_1,72,"‎24 / 04 / 18 , 16 : 50 - SupportoBullo2 : Ma tu che centri ? ! Nessuno ti ha interpellato",Curse_or_Exclusion,Bystander_assistant,False,False
B_1,73,"‎24 / 04 / 18 , 16 : 50 - Vittima : mi difende perché è mia amica , mica come te che mi tratti sempre male",Defense,Victim,False,False
B_1,76,"‎24 / 04 / 18 , 16 : 51 - SupportoBullo2 : Io invidiosa di uno sfigato come te ? ! Ma fammi il favore",Insult-General_Insult,Bystander_assistant,False,False
B_1,79,"‎24 / 04 / 18 , 16 : 52 - Vittima : invece sì , perché la prof mi stima",Defense,Victim,False,False
B_1,80,"‎24 / 04 / 18 , 16 : 52 - SupportoVittima3 : Dai SupportoBullo2 ammettilo che sei solo invidiosa",Defense,Bystander_defender,False,False
B_1,81,"‎24 / 04 / 18 , 16 : 53 - SupportoBullo2 : Sisi come no , non é che ti stima , il punto è che ti trova pure lei insopportabile e allora fa la carina solo perché non vuole sentirti",Defamation,Bystander_assistant,False,False
B_1,82,"‎24 / 04 / 18 , 16 : 54 - SupportoVittima3 : Ma cosa dicii ! !",Defense,Bystander_defender,False,False
B_1,83,"‎24 / 04 / 18 , 16 : 54 - SupportoBullo2 : Mamma mia guarda ogni giorno , soprattutto di lui che non lo guarda nessuno a scuola , invece qui fate i carini ma in realtà a scuola non lo considerate nemmeno quindi . .",Curse_or_Exclusion,Bystander_assistant,False,False
B_1,86,"‎24 / 04 / 18 , 16 : 55 - SupportoBullo2 : Ahah che spiritoso , mi ricorderò di questo quando saremo faccia a faccia",Insult-General_Insult,Bystander_assistant,True,False
B_1,86,"‎24 / 04 / 18 , 16 : 55 - SupportoBullo2 : Ahah che spiritoso , mi ricorderò di questo quando saremo faccia a faccia",Threat_or_Blackmail,Bystander_assistant,True,False
B_1,87,"‎24 / 04 / 18 , 16 : 56 - SupportoVittima3 : Cosa credi di fare ! ! Ma zitta va che non sai altro che prendertela con i più deboliii ! !",Defense,Bystander_defender,False,False
B_1,87,"‎24 / 04 / 18 , 16 : 56 - SupportoVittima3 : Cosa credi di fare ! ! Ma zitta va che non sai altro che prendertela con i più deboliii ! !",Insult-General_Insult,Bystander_defender,False,False
B_1,87,"‎24 / 04 / 18 , 16 : 56 - SupportoVittima3 : Cosa credi di fare ! ! Ma zitta va che non sai altro che prendertela con i più deboliii ! !",Curse_or_Exclusion,Bystander_defender,False,False
B_1,88,"‎24 / 04 / 18 , 16 : 57 - SupportoBullo2 : Tipo un debole come Vittima e come te ?",Insult-General_Insult,Bystander_assistant,False,False
B_1,89,"‎24 / 04 / 18 , 16 : 58 - Vittima : debole che però vi fa sospendere . . .",Defense,Victim,False,False
B_1,90,"‎24 / 04 / 18 , 17 : 01 - SupportoBullo2 : Si per aver fatto la spia , nemmeno i bambini di 5 anni si vantano per una cosa del genere",Insult-General_Insult,Bystander_assistant,False,False
B_1,91,"‎24 / 04 / 18 , 17 : 17 - Vittima : Intanto voi sospesi e io prendo 10",Defense,Victim,False,False
B_1,92,"‎24 / 04 / 18 , 17 : 18 - SupportoBullo2 : Meglio essere sospesi piuttosto di vederti",Curse_or_Exclusion,Bystander_assistant,False,False
B_1,93,"‎24 / 04 / 18 , 17 : 43 - Vittima : Se continuate così non mi vedete l'anno prossimo",Defense,Victim,False,False
B_1,95,"‎24 / 04 / 18 , 18 : 31 - SupportoBullo2 : Meglio , una faccia da culo in meno 😘",Insult-General_Insult,Bystander_assistant,False,False
B_1,96,"‎24 / 04 / 18 , 18 : 47 - SupportoBullo1 : Ai proprio ragione",Encouragement_to_the_Harasser,Bystander_assistant,False,False
B_1,97,"‎24 / 04 / 18 , 18 : 48 - SupportoBullo1 : Fai prima andartene ( ''spione'' ) 😜",Insult-General_Insult,Bystander_assistant,False,False
B_1,99,"‎24 / 04 / 18 , 19 : 34 - Vittima : Ma non mi vedrete perché perdete voi un anno",Defense,Victim,False,False
B_1,100,"‎24 / 04 / 18 , 19 : 35 - SupportoVittima1 : Già",Defense,Bystander_defender,False,False
B_1,101,"‎24 / 04 / 18 , 20 : 50 - SupportoBullo2 : Sempre meglio che stare in classe con uno come te",Curse_or_Exclusion,Bystander_assistant,False,False
B_1,102,"‎24 / 04 / 18 , 20 : 51 - SupportoBullo2 : Ma tu cosa centri ? Qualcuno ha chiesto la tua opinione ? ! No , quindi taci . .",Curse_or_Exclusion,Bystander_assistant,False,False
B_1,103,"‎24 / 04 / 18 , 20 : 52 - SupportoVittima2 : No ti sbagli è lui a essere fortunato pk non ti vede",Defense,Bystander_defender,False,False
B_1,105,"‎24 / 04 / 18 , 20 : 53 - SupportoVittima2 : Taci tu , lei ha ragione",Defense,Bystander_defender,False,False
B_1,105,"‎24 / 04 / 18 , 20 : 53 - SupportoVittima2 : Taci tu , lei ha ragione",Curse_or_Exclusion,Bystander_defender,False,False
B_1,106,"‎24 / 04 / 18 , 20 : 53 - SupportoBullo2 : Madò qui tutti che si intromettono , una vita non cela avete ? !",Curse_or_Exclusion,Bystander_assistant,False,False
B_1,115,"‎24 / 04 / 18 , 20 : 56 - SupportoBullo2 : Oddio ora che copia le battute , che bambina",Insult-General_Insult,Bystander_assistant,False,False
B_1,121,"‎24 / 04 / 18 , 20 : 59 - SupportoBullo1 : Cosa dici sfigata",Insult-General_Insult,Bystander_assistant,False,False
B_1,122,"‎24 / 04 / 18 , 20 : 59 - SupportoVittima2 : Sono pure piú simpatica di te cosa vai a dire",Defense,Bystander_defender,False,False
B_1,123,"‎24 / 04 / 18 , 21 : 00 - SupportoBullo1 : Ma vai a casa",Curse_or_Exclusion,Bystander_assistant,False,False
B_1,124,"‎24 / 04 / 18 , 21 : 00 - SupportoVittima3 : Stai zitto SupportoBullo1",Curse_or_Exclusion,Bystander_defender,False,False
B_1,128,"‎24 / 04 / 18 , 21 : 01 - SupportoBullo1 : SupportoVittima3 stai zitta",Curse_or_Exclusion,Bystander_assistant,False,False
B_1,132,"‎24 / 04 / 18 , 21 : 02 - SupportoBullo1 : SupportoVittima2 stai zitto",Curse_or_Exclusion,Bystander_assistant,False,False
B_1,133,"‎24 / 04 / 18 , 21 : 06 - SupportoVittima2 : 💩",Insult-General_Insult,Bystander_defender,False,False
B_1,134,"‎24 / 04 / 18 , 21 : 06 - SupportoBullo1 : Ma tu sei già una 💩",Insult-General_Insult,Bystander_assistant,False,False
B_1,146,"‎24 / 04 / 18 , 21 : 10 - SupportoVittima2 : E se ci foste voi al suo posto",Defense,Bystander_defender,False,False
B_1,149,"‎24 / 04 / 18 , 21 : 14 - SupportoBullo2 : Se l'é cercata",Other,Bystander_assistant,False,False
B_1,150,"‎24 / 04 / 18 , 21 : 14 - SupportoVittima3 : ZITTA",Curse_or_Exclusion,Bystander_defender,False,False
B_1,151,"‎24 / 04 / 18 , 21 : 14 - SupportoVittima2 : SI ZITTA",Curse_or_Exclusion,Bystander_defender,False,False
B_1,152,"‎24 / 04 / 18 , 21 : 14 - SupportoVittima2 : lui ha fatto solo bene",Defense,Bystander_defender,False,False
B_1,155,"‎24 / 04 / 18 , 21 : 16 - SupportoVittima2 : Parla lei , che ha il cervello piú piccolo di una noce . Anzi non ce lo hai manco",Insult-General_Insult,Bystander_assistant,False,False
B_1,157,"‎24 / 04 / 18 , 21 : 17 - SupportoBullo2 : Ah sì ? Non so vogliamo parlare di te ? ! Che se una persona ti dice qualcosa rimbalza nella tua testa vuota per 3 settimane . . .",Insult-General_Insult,Bystander_assistant,False,False
B_1,163,"‎24 / 04 / 18 , 21 : 19 - SupportoBullo1 : Hai rotto",Insult-General_Insult,Bystander_assistant,False,False
B_1,164,"‎24 / 04 / 18 , 21 : 20 - SupportoBullo1 : Testa vuota",Insult-General_Insult,Bystander_assistant,False,False
B_1,165,"‎24 / 04 / 18 , 21 : 20 - SupportoVittima2 : Tu caso mai",Insult-General_Insult,Bystander_defender,False,False
B_1,166,"‎24 / 04 / 18 , 21 : 20 - SupportoVittima2 : Nella tua testa vuota gira solo l'invidia",Insult-General_Insult,Bystander_defender,False,False
B_1,167,"‎24 / 04 / 18 , 21 : 20 - SupportoVittima2 : Solo pk lui è inteligente e tu no",Defense,Bystander_defender,False,False
B_1,169,"‎24 / 04 / 18 , 21 : 21 - SupportoBullo1 : Parla la più magra della classe 🙂",Insult-BodyShame,Bystander_assistant,True,False
B_1,170,"‎24 / 04 / 18 , 21 : 21 - SupportoVittima2 : O che vuoi dire",Defense,Bystander_defender,False,False
B_1,171,"‎24 / 04 / 18 , 21 : 21 - SupportoVittima2 : Che centra",Defense,Bystander_defender,False,False
B_1,173,"‎24 / 04 / 18 , 21 : 21 - SupportoVittima2 : Buon per me se sono mahra",Defense,Bystander_defender,False,False
B_1,183,"‎24 / 04 / 18 , 21 : 28 - SupportoBullo2 : Sarà sicuramente andato a spifferare tutto ai suoi genitori lamentandosi come un bambino viziato",Defamation,Bystander_assistant,False,False
B_1,184,"‎25 / 04 / 18 , 09 : 53 - Bullo1 : Infatti è un gatto aggrappato alle palle 😂 😂 🤓 🤓",Insult-General_Insult,Harasser,False,False
B_1,185,"‎25 / 04 / 18 , 09 : 53 - SupportoBullo1 : Ai perfettamente ragione",Encouragement_to_the_Harasser,Bystander_assistant,False,False
B_1,188,"‎25 / 04 / 18 , 09 : 54 - SupportoBullo1 : Ma stai li",Curse_or_Exclusion,Bystander_assistant,False,False
B_1,193,"‎25 / 04 / 18 , 09 : 55 - Bullo1 : Ma stai zitta . . . .",Curse_or_Exclusion,Harasser,False,False
B_1,194,"‎25 / 04 / 18 , 09 : 55 - SupportoBullo1 : Grande",Encouragement_to_the_Harasser,Bystander_assistant,False,False
B_1,195,"‎25 / 04 / 18 , 09 : 55 - SupportoVittima2 : Ma stai zitto tu",Curse_or_Exclusion,Bystander_defender,False,False
B_1,196,"‎25 / 04 / 18 , 09 : 56 - SupportoBullo1 : Tu devi stare zitta",Curse_or_Exclusion,Bystander_assistant,False,False
B_1,197,"‎25 / 04 / 18 , 09 : 56 - SupportoBullo2 : Wow e Vittima dove é andato a finire ? Si lascia difendere da voi , ma intanto non scrive pk se la fa sotto dalla paura",Defamation,Bystander_assistant,False,False
B_1,198,"‎25 / 04 / 18 , 09 : 57 - SupportoBullo1 : Si",Encouragement_to_the_Harasser,Bystander_assistant,False,False
B_1,199,"‎25 / 04 / 18 , 09 : 57 - SupportoBullo1 : Infatti",Encouragement_to_the_Harasser,Bystander_assistant,False,False
B_1,201,"‎25 / 04 / 18 , 09 : 59 - SupportoVittima2 : No non lo farà mai io mi fido di lui e lo conosco molto bene",Defense,Bystander_defender,False,False
B_1,202,"‎25 / 04 / 18 , 10 : 00 - SupportoVittima2 : Non farebbe mai qualcosa ai suoi amici",Defense,Bystander_defender,False,False
B_1,212,"‎25 / 04 / 18 , 10 : 03 - SupportoBullo2 : Ah si lo conosci molto bene ? Allora pk in classe nessuno lo considera e adesso vi mettete in testa che sia uno dei vostri migliori amici ? ! Facendo così vi sentite più forti ? Più caritatevoli ? Ricordate però che state difendendo una persona che ha fatto la spia su una cazzata che non gli riguardava , quindi state attenti pk quella è la sua vera natura",Curse_or_Exclusion,Bystander_assistant,False,False
B_1,212,"‎25 / 04 / 18 , 10 : 03 - SupportoBullo2 : Ah si lo conosci molto bene ? Allora pk in classe nessuno lo considera e adesso vi mettete in testa che sia uno dei vostri migliori amici ? ! Facendo così vi sentite più forti ? Più caritatevoli ? Ricordate però che state difendendo una persona che ha fatto la spia su una cazzata che non gli riguardava , quindi state attenti pk quella è la sua vera natura",Defamation,Bystander_assistant,False,False
B_1,213,"‎25 / 04 / 18 , 10 : 03 - SupportoBullo1 : Inffati",Encouragement_to_the_Harasser,Bystander_assistant,False,False
B_1,214,"‎25 / 04 / 18 , 10 : 29 - SupportoBullo1 : SupportoVittima2 lo sai che Vittima e andato a spifferare che tu prendi brutti voti in inglese",Defamation,Bystander_assistant,False,False
B_1,215,"‎25 / 04 / 18 , 10 : 39 - Vittima : Io non ho fatto la spia , ho solo detto la verità alla prof perché non mi sembra il caso di portare le sigarette a scuola",Defense,Victim,False,False
B_1,217,"‎25 / 04 / 18 , 10 : 39 - SupportoBullo1 : Ma stai zitto",Curse_or_Exclusion,Bystander_assistant,False,False
B_1,218,"‎25 / 04 / 18 , 10 : 39 - Vittima : I vostri insulti mi fanno male , ma tanto l'anno prossimo non ci vediamo",Defense,Victim,False,False
B_1,220,"‎25 / 04 / 18 , 10 : 40 - SupportoBullo1 : Stai zitto",Curse_or_Exclusion,Bystander_assistant,False,False
B_1,224,"‎25 / 04 / 18 , 10 : 41 - SupportoBullo1 : Ma chi te la chiesto",Curse_or_Exclusion,Bystander_assistant,False,False
B_1,225,"‎25 / 04 / 18 , 10 : 41 - SupportoVittima2 : Ooooo non mi deve dire tu quando ridere",Defense,Bystander_defender,False,False
B_1,226,"‎25 / 04 / 18 , 10 : 42 - SupportoBullo1 : Ma stai zitta",Curse_or_Exclusion,Bystander_assistant,False,False
B_1,227,"‎25 / 04 / 18 , 10 : 43 - SupportoBullo1 : Ma stai zitta mister ( Non sufficiente )",Curse_or_Exclusion,Bystander_assistant,False,False
B_1,228,"‎25 / 04 / 18 , 10 : 53 - SupportoBullo2 : Non sono affari tuoi , dovevi stare zitto , a te cosa ti cambia se portiamo le sigarette ? ! Forse sei solo invidioso pk noi siamo popolari e tu no , e quindi ci metti nei guai solo per questo , pk ti senti escluso e cmq c'era anche una sigaretta per te se volevi",Curse_or_Exclusion,Bystander_assistant,False,False
B_1,230,"‎26 / 04 / 18 , 16 : 03 - SupportoVittima1 : Già , fumare fa male alla salute e a scuola poi . . . Bravo Vittima , speriamo che lo capiscano che hai fatto la cosa giusta",Defense,Bystander_defender,False,False
B_1,234,"‎26 / 04 / 18 , 16 : 36 - SupportoVittima2 : Non ascolatre quei bulli sono solo invidiosi",Defense,Bystander_defender,False,False
B_1,237,"‎26 / 04 / 18 , 16 : 41 - SupportoBullo2 : Ma di chi ? ! Di quello là ? ! Ma fammi il favore che non me ne faccio niente di uno sfigato come lui !",Insult-General_Insult,Bystander_assistant,False,False
B_2,0,"‎24 / 04 / 18 , 17 : 12 - Bullo1 : Bravo",Insult-General_Insult,Harasser,True,False
B_2,2,"‎24 / 04 / 18 , 17 : 12 - Bullo1 : Sai sei bravissimo ad fare la spia",Insult-General_Insult,Harasser,False,False
B_2,3,"‎24 / 04 / 18 , 17 : 12 - SupportoBullo2 : Esatto spione !",Insult-General_Insult,Bystander_assistant,False,False
B_2,4,"‎24 / 04 / 18 , 17 : 13 - SupportoVittima1 : Senti ha fatto bene a dire tutto alla prof",Defense,Bystander_defender,False,False
B_2,6,"‎24 / 04 / 18 , 17 : 13 - Bullo1 : Ok ma sono affari nostri",Defense,Harasser,False,False
B_2,8,"‎24 / 04 / 18 , 17 : 13 - SupportoVittima2 : Ha fatto quello che doveba fare",Defense,Bystander_defender,False,False
B_2,10,"‎24 / 04 / 18 , 17 : 13 - SupportoVittima2 : Ha fatto bene a dire tutto alla prof .",Defense,Bystander_defender,False,False
B_2,11,"‎24 / 04 / 18 , 17 : 13 - SupportoVittima1 : L ’ avrei fatto anche io ! Ha fatto la cosa giusta !",Defense,Bystander_defender,False,False
B_2,12,"‎24 / 04 / 18 , 17 : 13 - Bullo1 : Ma levati che quello la non sa fare altro solo rompere",Insult-General_Insult,Harasser,False,False
B_2,13,"‎24 / 04 / 18 , 17 : 13 - SupportoBullo2 : Esatto non sono affari vostri spioni",Curse_or_Exclusion,Bystander_assistant,False,False
B_2,13,"‎24 / 04 / 18 , 17 : 13 - SupportoBullo2 : Esatto non sono affari vostri spioni",Insult-General_Insult,Bystander_assistant,False,False
B_2,14,"‎24 / 04 / 18 , 17 : 14 - SupportoVittima1 : Tu stai zitta",Curse_or_Exclusion,Bystander_defender,False,False
B_2,15,"‎24 / 04 / 18 , 17 : 14 - SupportoVittima2 : Lasciatelo stare .",Defense,Bystander_defender,False,False
B_2,17,"‎24 / 04 / 18 , 17 : 14 - Bullo1 : Non dire zitta alla mia amica",Defense,Harasser,False,False
B_2,20,"‎24 / 04 / 18 , 17 : 14 - SupportoVittima1 : Faccio quel cavolo che mi pare",Defense,Bystander_defender,False,False
B_2,23,"‎24 / 04 / 18 , 17 : 14 - SupportoVittima2 : Deve stare zitta",Curse_or_Exclusion,Bystander_defender,False,False
B_2,25,"‎24 / 04 / 18 , 17 : 14 - Bullo1 : Ma tua mamma sta zitta",Insult-Attacking_relatives,Harasser,False,False
B_2,26,"‎24 / 04 / 18 , 17 : 14 - SupportoBullo2 : Sapete soltanto fare la spia pk siete i cocchi dei prof spioniiii",Insult-General_Insult,Bystander_assistant,False,False
B_2,27,"‎24 / 04 / 18 , 17 : 14 - SupportoVittima1 : Bullo1 nessuno ti ha detto di parlare",Curse_or_Exclusion,Harasser,False,False
B_2,31,"‎24 / 04 / 18 , 17 : 15 - SupportoVittima2 : L'unico che deve chiudere la bocca qui è lui .",Curse_or_Exclusion,Bystander_defender,False,False
B_2,34,"‎24 / 04 / 18 , 17 : 15 - SupportoVittima2 : Lasciate stare Vittima",Defense,Bystander_defender,False,False
B_2,35,"‎24 / 04 / 18 , 17 : 15 - Bullo1 : Ooo poverino",Other,Harasser,True,False
B_2,36,"‎24 / 04 / 18 , 17 : 16 - SupportoVittima2 : Lascialo stare !",Defense,Bystander_defender,False,False
B_2,39,"‎24 / 04 / 18 , 17 : 16 - SupportoBullo2 : Ma state zitti . . . i sapientoni li fate voi",Curse_or_Exclusion,Bystander_assistant,False,False
B_2,40,"‎24 / 04 / 18 , 17 : 16 - SupportoVittima2 : State zitti tossici del cavolo",Insult-General_Insult,Bystander_defender,False,False
B_2,40,"‎24 / 04 / 18 , 17 : 16 - SupportoVittima2 : State zitti tossici del cavolo",Curse_or_Exclusion,Bystander_defender,False,False
B_2,43,"‎24 / 04 / 18 , 17 : 16 - Bullo1 : Chiedi a tua sorella se non so fare altro",Insult-Attacking_relatives,Harasser,False,False
B_2,44,"‎24 / 04 / 18 , 17 : 17 - SupportoBullo1 : È tu sai solo parlare quando non serve !",Insult-General_Insult,Bystander_assistant,False,False
B_2,45,"‎24 / 04 / 18 , 17 : 17 - SupportoBullo2 : Stai zitta tu cocca della prof",Insult-General_Insult,Bystander_assistant,False,False
B_2,45,"‎24 / 04 / 18 , 17 : 17 - SupportoBullo2 : Stai zitta tu cocca della prof",Curse_or_Exclusion,Bystander_assistant,False,False
B_2,47,"‎24 / 04 / 18 , 17 : 17 - SupportoVittima1 : Quelli che ci fanno la figura degli idioti siete voi !",Insult-General_Insult,Bystander_defender,False,False
B_2,49,"‎24 / 04 / 18 , 17 : 17 - SupportoVittima2 : Io parlo quando mi pare e piace",Defense,Bystander_defender,False,False
B_2,50,"‎24 / 04 / 18 , 17 : 18 - SupportoVittima1 : Ma che cavolo vuoi vai via",Defense,Bystander_defender,False,False
B_2,50,"‎24 / 04 / 18 , 17 : 18 - SupportoVittima1 : Ma che cavolo vuoi vai via",Curse_or_Exclusion,Bystander_defender,False,False
B_2,51,"‎24 / 04 / 18 , 17 : 18 - Bullo1 : A si noi la facciamo per questa volta ma voi siete idioti a prescindere",Insult-General_Insult,Harasser,False,False
B_2,52,"‎24 / 04 / 18 , 17 : 18 - SupportoBullo1 : Esatto",Encouragement_to_the_Harasser,Bystander_assistant,False,False
B_2,53,"‎24 / 04 / 18 , 17 : 18 - SupportoBullo2 : Vaiii grande",Encouragement_to_the_Harasser,Bystander_assistant,False,False
B_2,54,"‎24 / 04 / 18 , 17 : 18 - SupportoVittima1 : Noi supereremo l ’ anno voi no !",Defense,Bystander_defender,False,False
